Const,Your Rating,Date Rated,Title,Title Type,Runtime,Year
tt0050976,9,2020-01-09,Det sjunde inseglet,movie,96,1957
tt5186714,9,2019-08-13,Forushande,movie,124,2016
tt0053125,9,2018-01-09,North by Northwest,movie,136,1959
tt0054215,9,2018-01-11,Psycho,movie,109,1960
tt5460658,9,2019-11-19,Abad va yek rooz,movie,112,2016
tt0055630,9,2020-01-14,Yôjinbô,movie,110,1961
tt0057012,9,2017-03-12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,95,1964
tt5753856,9,2019-08-13,Dark,tvSeries,60,2017
tt0059578,9,2019-05-09,Per qualche dollaro in più,movie,132,1965
tt6468322,9,2019-08-13,La casa de papel,tvSeries,70,2017
tt6751668,9,2019-11-26,Gisaengchung,movie,132,2019
tt6966692,9,2019-11-28,Green Book,movie,130,2018
tt0071562,9,2016-05-07,The Godfather: Part II,movie,202,1974
tt0075314,9,2017-09-02,Taxi Driver,movie,114,1976
tt0076759,9,2019-11-26,Star Wars,movie,121,1977
tt0080684,9,2019-11-26,Star Wars: Episode V - The Empire Strikes Back,movie,124,1980
tt0083658,9,2018-01-09,Blade Runner,movie,117,1982
tt8398600,9,2020-05-03,After Life,tvSeries,30,2019
tt8579674,9,2020-03-30,1917,movie,119,2019
tt0086190,9,2019-11-26,Star Wars: Episode VI - Return of the Jedi,movie,131,1983
tt0086250,9,2017-03-26,Scarface,movie,170,1983
tt0087544,9,2019-05-09,Kaze no tani no Naushika,movie,117,1984
tt0876563,9,2019-08-13,Gake no ue no Ponyo,movie,101,2008
tt0088763,9,2016-05-07,Back to the Future,movie,116,1985
tt0892769,9,2019-05-09,How to Train Your Dragon,movie,98,2010
tt0903747,9,2018-12-08,Breaking Bad,tvSeries,49,2008
tt0090605,9,2018-01-13,Aliens,movie,137,1986
tt0910970,9,2019-05-09,WALL·E,movie,98,2008
tt0092005,9,2018-03-18,Stand by Me,movie,89,1986
tt0095953,9,2017-04-08,Rain Man,movie,133,1988
tt0096283,9,2017-05-20,Tonari no Totoro,movie,86,1988
tt0986264,9,2019-05-09,Taare Zameen Par,movie,165,2007
tt0108052,10,2016-05-07,Schindler's List,movie,195,1993
tt0110413,10,2016-05-07,Léon,movie,110,1994
tt0110912,10,2016-09-04,Pulp Fiction,movie,154,1994
tt0111161,10,2016-05-07,The Shawshank Redemption,movie,142,1994
tt0112573,10,2016-05-07,Braveheart,movie,178,1995
tt1130884,10,2019-05-09,Shutter Island,movie,138,2010
tt0114709,10,2019-05-09,Toy Story,movie,81,1995
tt0118715,10,2016-05-07,The Big Lebowski,movie,117,1998
tt0118799,10,2018-12-08,La vita è bella,movie,116,1997
tt0118849,10,2019-05-09,Bacheha-Ye aseman,movie,89,1997
tt0120586,10,2018-12-08,American History X,movie,119,1998
tt0120689,10,2016-05-07,The Green Mile,movie,189,1999
tt0120737,10,2016-05-07,The Lord of the Rings: The Fellowship of the Ring,movie,178,2001
tt1392190,10,2016-05-07,Mad Max: Fury Road,movie,120,2015
tt1392214,10,2017-09-02,Prisoners,movie,153,2013
tt1663202,10,2019-08-13,The Revenant,movie,156,2015
tt0167260,10,2016-05-07,The Lord of the Rings: The Return of the King,movie,201,2003
tt0167261,10,2016-05-07,The Lord of the Rings: The Two Towers,movie,179,2002
tt1675434,10,2016-05-07,Intouchables,movie,112,2011
tt0180093,10,2017-08-22,Requiem for a Dream,movie,102,2000
tt1832382,10,2019-05-09,Jodaeiye Nader az Simin,movie,123,2011
tt0198781,10,2016-05-07,"Monsters, Inc.",movie,92,2001
tt2024544,10,2016-05-07,12 Years a Slave,movie,134,2013
tt0208092,10,2018-01-12,Snatch,movie,104,2000
tt2085059,10,2019-02-20,Black Mirror,tvSeries,60,2011
tt0209463,10,2019-10-16,Bad ma ra khahad bord,movie,118,1999
tt2096673,10,2019-05-09,Inside Out,movie,95,2015
tt2106476,10,2018-01-13,Jagten,movie,115,2012
tt2395695,10,2018-12-08,Cosmos: A Spacetime Odyssey,tvMiniSeries,557,2014
tt0245429,10,2018-12-08,Sen to Chihiro no kamikakushi,movie,125,2001
tt0266543,10,2019-05-09,Finding Nemo,movie,100,2003
tt0268978,10,2016-05-07,A Beautiful Mind,movie,135,2001
tt2707408,10,2017-02-19,Narcos,tvSeries,49,2015
tt3011894,10,2019-05-09,Relatos salvajes,movie,122,2014
tt0038650,10,2018-12-08,It's a Wonderful Life,movie,130,1946
tt0405094,10,2017-08-22,Das Leben der Anderen,movie,137,2006
tt0417299,10,2020-05-01,Avatar: The Last Airbender,tvSeries,23,2005
tt0434409,10,2019-05-09,V for Vendetta,movie,132,2005
tt0047478,10,2017-03-13,Shichinin no samurai,movie,207,1954
tt0476735,10,2019-05-09,Babam ve Oglum,movie,112,2005
tt0050083,10,2018-12-08,12 Angry Men,movie,96,1957
tt5074352,10,2017-02-28,Dangal,movie,161,2016
tt5491994,10,2018-12-08,Planet Earth II,tvMiniSeries,298,2016
tt0068646,10,2016-05-07,The Godfather,movie,175,1972
tt0073486,10,2016-05-07,One Flew Over the Cuckoo's Nest,movie,133,1975
tt0795176,10,2019-08-13,Planet Earth,tvMiniSeries,538,2006
tt0816692,10,2016-05-07,Interstellar,movie,169,2014
tt0082096,10,2017-08-22,Das Boot,movie,149,1981
tt0877057,10,2019-08-13,Death Note: Desu nôto,tvSeries,24,2006
tt0095765,10,2019-05-09,Nuovo Cinema Paradiso,movie,155,1988
tt0997246,10,2019-08-13,Avaze gonjeshk-ha,movie,96,2008
